measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,108,Belize,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.11106562231873124,0.13431723563669823,0.09007127002844932
1,Deaths,108,Belize,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.05271716391781033,0.06220008217075092,0.04340834686876427
1,Deaths,108,Belize,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.08224296715130404,0.09477680114265163,0.06907802870534893
1,Deaths,7,North Korea,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.6270246325440587,0.9126391324555926,0.3635222695471738
1,Deaths,7,North Korea,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.24920984228447135,0.34808327652591825,0.1609982681985628
1,Deaths,7,North Korea,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.42654352813332264,0.57986181764851,0.2782027921753279
1,Deaths,133,Venezuela,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.2776045032544224,0.3262845068504389,0.23314606492926562
1,Deaths,133,Venezuela,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.11729261626837606,0.1330069659923833,0.0985606043898976
1,Deaths,133,Venezuela,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.1971727982268931,0.2226324855146187,0.1715007757025063
1,Deaths,184,Mozambique,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.38514721462675616,0.6120791835221543,0.1571092052533996
1,Deaths,184,Mozambique,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.04842873015480857,0.0675592865752726,0.026521832806552847
1,Deaths,184,Mozambique,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.21108223579819024,0.3239346986331365,0.09537985034245615
1,Deaths,58,Estonia,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1990,1.8253099105854313,2.0915683560034184,1.5721028594036244
1,Deaths,58,Estonia,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.3294458394252624,0.3753286076912417,0.28694828245786763
1,Deaths,58,Estonia,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1990,1.0289266239495323,1.1584766467508971,0.9108785650118686
1,Deaths,83,Iceland,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1990,1.6453349610814396,1.9720450501067082,1.3539891732870075
1,Deaths,83,Iceland,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.9390145397574611,1.0614015114423119,0.8236909318542512
1,Deaths,83,Iceland,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1990,1.2936587567049513,1.4617467651048455,1.12192803587556
1,Deaths,179,Ethiopia,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1992,0.23690051883533506,0.35795334331142303,0.08448984064191535
1,Deaths,179,Ethiopia,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1992,0.1361093288875428,0.20122327972272824,0.0645473361936783
1,Deaths,179,Ethiopia,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1992,0.18670603311047193,0.25454621350918094,0.07714122860196679
1,Deaths,435,South Sudan,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.13649239779426126,0.29617331284112947,0.03297886132526967
1,Deaths,435,South Sudan,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.02383311878794609,0.03962218940209911,0.010747618490300523
1,Deaths,435,South Sudan,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.08364765943267895,0.171704986854593,0.0243379661934166
1,Deaths,59,Latvia,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1990,1.4084754793712393,1.5916099966021162,1.2409455053062404
1,Deaths,59,Latvia,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.29497986513032887,0.33132508731492794,0.26029976526210236
1,Deaths,59,Latvia,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.8136452649600315,0.9020641925856446,0.7293861762130845
1,Deaths,195,Namibia,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1991,1.790817176525065,2.280432368294814,1.292437519620907
1,Deaths,195,Namibia,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1991,0.5276998323359838,0.6591180662557725,0.42421137575377044
1,Deaths,195,Namibia,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1991,1.1441951445006897,1.4163540175832094,0.8724621257038084
1,Deaths,143,Iraq,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1991,2.214864462356163,2.885824536079576,1.608096154245077
1,Deaths,143,Iraq,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1991,0.4767296786201517,0.6200170030363739,0.36790804618932316
1,Deaths,143,Iraq,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1991,1.3694873157835568,1.7299785583967762,1.036266898045082
1,Deaths,210,Liberia,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.5749121637843186,0.8111212483899264,0.387365555215451
1,Deaths,210,Liberia,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.0725591338455967,0.09592824976768183,0.05020981177486748
1,Deaths,210,Liberia,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.3262366925364381,0.4481838167540955,0.22984201507064725
1,Deaths,8,Taiwan,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.4932732566970858,0.5603309983092838,0.4333084135347731
1,Deaths,8,Taiwan,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.30859983698950905,0.3490051980162151,0.2718349714285873
1,Deaths,8,Taiwan,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.40403023631689505,0.4457880224919771,0.3680496985435771
1,Deaths,169,Central African Republic,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1991,1.0403339991801093,1.5775814969374056,0.5163168659377183
1,Deaths,169,Central African Republic,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1991,0.23540035234521,0.34966710607721097,0.12024584752413787
1,Deaths,169,Central African Republic,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1991,0.6319899093869075,0.9118177825495974,0.338355736357895
1,Deaths,211,Mali,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.32126438943913543,0.483541815911715,0.20939348545968237
1,Deaths,211,Mali,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.08342978176985862,0.10775826044242069,0.06116481847219154
1,Deaths,211,Mali,3,Both,22,All Ages,562,Opioid use disorders,3,Rate,1990,0.2004520585889276,0.28236881303131767,0.14384401292827675
1,Deaths,52,Romania,1,Male,22,All Ages,562,Opioid use disorders,3,Rate,1992,0.6650345802380355,0.7675475557789986,0.5623615311250596
1,Deaths,52,Romania,2,Female,22,All Ages,562,Opioid use disorders,3,Rate,1992,0.36679358623038916,0.42760149351801385,0.2910515497796267
